ANIO,MES,NSELV,UBIGEO,Parentesco_con_jefe_hogar,sexo,edad,idioma_ninez,nivel_educativo,centro_estudios_E_P
2019,8,80,240101,1,1,62,,3,
2019,8,80,240101,2,2,46,,6,
2019,8,80,240101,3,2,14,,5,1
2019,8,118,240101,1,1,67,,5,
2019,8,118,240101,3,1,41,,6,
2019,8,118,240101,3,1,35,,6,
2019,8,118,240101,7,1,65,,1,
2019,8,155,240101,1,1,41,,6,
2019,8,155,240101,2,2,39,,9,
2019,8,155,240101,3,1,18,,6,1
2019,8,155,240101,3,2,6,,2,1
2019,8,155,240101,3,2,4,,2,1
2019,8,190,240101,1,1,66,,10,
2019,8,190,240101,2,2,65,,3,
2019,8,190,240101,3,2,36,,6,
2019,8,190,240101,5,2,11,,3,1
2019,8,190,240101,3,1,5,,2,1
2019,7,34,240101,1,1,39,,5,
2019,7,48,240101,1,1,62,,9,
2019,7,48,240101,2,2,50,,9,
2019,7,48,240101,3,2,13,,5,1
2019,7,48,240101,3,2,21,,11,
2019,7,48,240101,4,1,25,,9,
2019,7,48,240101,5,2,,,,
2019,7,63,240101,1,1,52,,12,
2019,7,63,240101,2,2,50,,11,
2019,7,63,240101,3,2,26,,11,2
2019,7,63,240101,3,1,18,,10,2
2019,7,79,240101,1,2,85,,3,
2019,7,79,240101,3,2,62,,3,
2019,7,79,240101,3,1,54,,6,
2019,7,93,240101,1,2,47,,6,
2019,7,93,240101,3,1,16,,5,1
2019,7,93,240101,3,1,14,,5,1
2019,7,93,240101,3,2,12,,3,1
2019,7,93,240101,3,1,10,,3,1
2019,7,93,240101,3,1,2,,,
2019,7,93,240101,3,2,25,,5,
2019,7,93,240101,5,2,2,,,
2019,7,93,240101,5,1,,,,
2019,7,93,240101,3,2,20,,5,
2019,7,93,240101,5,2,7,,2,1
2019,7,93,240101,5,1,5,,2,1
2019,7,93,240101,5,1,3,,1,1
2019,7,135,240101,1,2,76,,1,
2019,7,135,240101,3,2,47,,4,
2019,7,135,240101,5,2,28,,11,
2019,7,135,240101,5,2,10,,3,2
2019,12,38,240101,1,1,29,4,11,
2019,12,38,240101,2,2,22,4,5,
2019,12,38,240101,3,1,4,4,1,1
2019,12,62,240101,1,1,40,4,11,
2019,12,62,240101,2,2,35,4,6,
2019,12,62,240101,3,1,6,2,2,2
2019,12,62,240101,3,1,3,4,1,2
2019,12,88,240101,1,1,56,4,6,
2019,12,88,240101,2,2,62,4,6,
2019,12,88,240101,3,1,43,4,12,2
2019,12,88,240101,3,1,24,4,11,
2019,12,88,240101,5,1,16,4,5,2
2019,12,88,240101,5,2,11,4,3,2
2019,12,112,240101,1,1,62,4,6,
2019,12,137,240101,1,1,61,4,5,
2019,12,137,240101,2,2,59,4,5,
2019,12,137,240101,5,2,11,4,3,1
2019,7,10,240101,1,1,63,,11,
2019,7,10,240101,2,2,55,,5,
2019,7,10,240101,3,1,28,,1,
2019,7,71,240101,1,1,61,,6,
2019,7,71,240101,2,2,58,,3,
2019,7,71,240101,6,2,87,,4,
2019,7,100,240101,1,1,42,,4,
2019,7,100,240101,7,1,43,,4,
2019,7,100,240101,7,1,35,,4,
2019,7,130,240101,1,1,46,,6,
2019,7,130,240101,2,2,45,,9,
2019,7,130,240101,3,2,20,,10,2
2019,7,130,240101,3,1,18,,10,1
2019,7,130,240101,3,2,13,,5,1
2019,6,7,240101,1,1,54,,6,
2019,6,28,240101,1,1,70,,11,
2019,6,28,240101,2,2,57,,9,
2019,6,28,240101,3,2,28,,9,
2019,6,28,240101,5,2,5,,2,2
2019,6,28,240101,3,2,25,,11,
2019,6,28,240101,5,1,3,,2,2
2019,6,50,240101,1,1,86,,3,
2019,6,50,240101,2,2,84,,4,
2019,6,67,240101,1,2,65,,8,
